id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,mode
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05,1
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04,1
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.06,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.88,0.03,1
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,0.08,1
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.92,0.03,1
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.65,0.04,1
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.70,0.04,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.90,0.03,1
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.03,0.05,1
11,Concrete Kings,Blockwise,hip-hop,confident,0.80,95,0.62,0.85,0.12,0.02,0.28,0
12,Moonlit Sonata Drift,Aria Fields,classical,melancholic,0.30,68,0.34,0.28,0.95,0.94,0.03,0
13,Island Time,Sunroot Collective,reggae,laid-back,0.58,98,0.83,0.76,0.44,0.10,0.07,1
14,Dust and Diesel,Wade Holloway,country,nostalgic,0.55,102,0.67,0.61,0.58,0.03,0.04,1
15,Iron Verdict,Ashen Crown,metal,aggressive,0.97,168,0.28,0.52,0.03,0.06,0.09,0
16,Pulse Reactor,Kilovolt,edm,euphoric,0.95,128,0.72,0.91,0.04,0.75,0.05,1
17,Delta Blues Lament,Cotton Field Sam,blues,sorrowful,0.44,76,0.31,0.49,0.82,0.08,0.04,0
18,Harvest Hymn,The Willow Trio,folk,peaceful,0.40,88,0.70,0.55,0.90,0.15,0.03,1
19,Velvet Hours,Selah Rose,r&b,romantic,0.52,84,0.68,0.72,0.40,0.02,0.09,1
20,Carnival Heat,Ritmo Vivo,latin,energetic,0.88,112,0.89,0.90,0.25,0.05,0.12,1
